,p.10,p.1A,p.1B,p.21,p.22,p.23,p.24,p.25,p.26,p.2A,p.2B,p.31,p.32,p.33,p.34,p.35,p.36,p.3A,p.3B,p.3C,p.41,p.42,p.4A,p.4B,p.51,p.52,p.5A,p.5B,p.61,p.62,p.63,p.64,p.6A,p.6B,p.71,p.72,p.73,p.74,p.7A,p.7B,p.81,p.82,p.8A,p.8B,p.9A,p.9B
p.10,0,1/((2*0.1)+(2*1)),1/((2*0.1)+(2*1)),0.1/((2*0.1)+(2*1)),0.1/((2*0.1)+(2*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.1A,(2*1)/(1+(2*0.1)+(2*1)),0,0,0,0,0,0,0,0,(2*0.1)/(1+(2*0.1)+(2*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/(1+(2*0.1)+(2*1)),0
p.1B,(2*1)/(1+(2*0.1)+(2*1)),0,0,0,0,0,0,0,0,0,(2*0.1)/(1+(2*0.1)+(2*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/(1+(2*0.1)+(2*1))
p.21,1/(1+0.1+(3*1)),0,0,0,0,1/(1+0.1+(3*1)),0,1/(1+0.1+(3*1)),0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0.1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.22,1/(1+0.1+(3*1)),0,0,0,0,0,1/(1+0.1+(3*1)),0,1/(1+0.1+(3*1)),0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0.1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.23,0,0,0,1/(1+0.1+(3*1)),0,0,0,0,1/(1+0.1+(3*1)),0,1/(1+0.1+(3*1)),0,0,0.1/(1+0.1+(3*1)),0,0,0,0,0,0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.24,0,0,0,0,1/(1+0.1+(3*1)),0,0,1/(1+0.1+(3*1)),0,1/(1+0.1+(3*1)),0,0,0,0,0.1/(1+0.1+(3*1)),0,0,0,0,0,0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.25,0,0,0,1/(1+0.1+(3*1)),0,0,1/(1+0.1+(3*1)),0,0,0,1/(1+0.1+(3*1)),0,0,0,0,0.1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.26,0,0,0,0,1/(1+0.1+(3*1)),1/(1+0.1+(3*1)),0,0,0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0.1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,1/(1+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.2A,0,1/(3+0.1+(3*1)),0,1/(3+0.1+(3*1)),0,0,1/(3+0.1+(3*1)),0,1/(3+0.1+(3*1)),0,0,0,0,0,0,0,0,0.1/(3+0.1+(3*1)),0,0,0,0,1/(3+0.1+(3*1)),0,0,0,1/(3+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.2B,0,0,1/(3+0.1+(3*1)),0,1/(3+0.1+(3*1)),1/(3+0.1+(3*1)),0,1/(3+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0.1/(3+0.1+(3*1)),0,0,0,0,1/(3+0.1+(3*1)),0,0,0,1/(3+0.1+(3*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.31,0,0,0,0,0,0,0,0,0,0,0,0,0,(2*1)/(4+(4*1)),0,0,(2*1)/(4+(4*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/(4+(4*1)),0,0,0,0,2/(4+(4*1)),0,0,0,0,0,0,0,0,0
p.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(2*1)/(4+(4*1)),(2*1)/(4+(4*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/(4+(4*1)),0,0,0,0,0,0,2/(4+(4*1)),0,0,0,0,0,0,0,0
p.33,0,0,0,0,0,2/((4*1)+3),0,0,0,0,0,1/((4*1)+3),0,0,0,0,0,0,1/((4*1)+3),(2*1)/((4*1)+3),0,0,0,0,0,0,0,0,1/((4*1)+3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.34,0,0,0,0,0,0,2/((4*1)+3),0,0,0,0,0,1/((4*1)+3),0,0,0,0,1/((4*1)+3),0,(2*1)/((4*1)+3),0,0,0,0,0,0,0,0,0,1/((4*1)+3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.35,0,0,0,0,0,0,0,2/((4*1)+3),0,0,0,0,1/((4*1)+3),0,0,0,0,0,1/((4*1)+3),(2*1)/((4*1)+3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((4*1)+3),0,0,0,0,0,0,0,0,0,0,0
p.36,0,0,0,0,0,0,0,0,2/((4*1)+3),0,0,1/((4*1)+3),0,0,0,0,0,1/((4*1)+3),0,(2*1)/((4*1)+3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((4*1)+3),0,0,0,0,0,0,0,0,0,0
p.3A,0,0,0,0,0,0,0,0,0,4/(6+(4*1)),0,0,0,0,(2*1)/(6+(4*1)),0,(2*1)/(6+(4*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/(6+(4*1)),0,0,0,0,0,1/(6+(4*1)),0,0,0,0,0,0,0
p.3B,0,0,0,0,0,0,0,0,0,0,4/(6+(4*1)),0,0,(2*1)/(6+(4*1)),0,(2*1)/(6+(4*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/(6+(4*1)),0,0,0,0,0,1/(6+(4*1)),0,0,0,0,0,0
p.3C,0,0,0,1/(2+(4*1)),1/(2+(4*1)),0,0,0,0,0,0,0,0,1/(2+(4*1)),1/(2+(4*1)),1/(2+(4*1)),1/(2+(4*1)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1),1/((2*1)+0.1),0,0,0,0,0.1/((2*1)+0.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1),1/((2*1)+0.1),0,0,0,0,0,0.1/((2*1)+0.1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p.4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1+1),1/((2*1)+0.1+1),0,0,0,0,0,0,0,0,0,0,0.1/((2*1)+0.1+1),0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1+1),0
p.4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1+1),1/((2*1)+0.1+1),0,0,0,0,0,0,0,0,0,0,0,0.1/((2*1)+0.1+1),0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1+1)
p.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1),1/((2*1)+0.1),0,0,0,0,0,0,0.1/((2*1)+0.1),0,0,0,0,0,0,0,0,0,0,0
p.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1),1/((2*1)+0.1),0,0,0,0,0,0,0,0.1/((2*1)+0.1),0,0,0,0,0,0,0,0,0,0
p.5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1+1),1/((2*1)+0.1+1),0,0,0,0,0,0,0,0,0,0,0,0,0.1/((2*1)+0.1+1),0,0,0,0,0,1/((2*1)+0.1+1),0
p.5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+0.1+1),1/((2*1)+0.1+1),0,0,0,0,0,0,0,0,0,0,0,0,0,0.1/((2*1)+0.1+1),0,0,0,0,0,1/((2*1)+0.1+1)
p.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((3*1)+1),0,0,0,0,0,0,0,0,1/((3*1)+1),0,1/((3*1)+1),0,1/((3*1)+1),0,0,0,0,0,0,0,0,0,0,0,0
p.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((3*1)+1),0,0,0,0,0,0,1/((3*1)+1),0,1/((3*1)+1),0,1/((3*1)+1),0,0,0,0,0,0,0,0,0,0,0,0,0
p.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(2*1)/((3*1)+1),0,0,0,1/((3*1)+1),0,0,0,0,0,0,0,1/((3*1)+1),0,0,0,0
p.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(2*1)/((3*1)+1),0,0,0,1/((3*1)+1),0,0,0,0,0,0,0,1/((3*1)+1),0,0,0,0,0
p.6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/((3*1)+3),0,0,0,0,0,0,(2*1)/((3*1)+3),0,1/((3*1)+3),0,0,0,0,0,0,0,0,0,0,1/((3*1)+3),0,0,0
p.6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/((3*1)+3),0,0,0,0,(2*1)/((3*1)+3),0,1/((3*1)+3),0,0,0,0,0,0,0,0,0,0,0,0,1/((3*1)+3),0,0
p.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((3*1)+1),0,0,0,0,0,0,0,0,0,0,1/((3*1)+1),0,1/((3*1)+1),0,1/((3*1)+1),0,0,0,0,0,0
p.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((3*1)+1),0,0,0,0,0,0,0,0,1/((3*1)+1),0,1/((3*1)+1),0,1/((3*1)+1),0,0,0,0,0,0,0
p.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(2*1)/((3*1)+1),0,0,0,1/((3*1)+1),1/((3*1)+1),0,0,0,0,0
p.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(2*1)/((3*1)+1),0,0,0,1/((3*1)+1),0,0,1/((3*1)+1),0,0,0,0
p.7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/((3*1)+3),0,0,0,0,0,0,0,0,(2*1)/((3*1)+3),0,1/((3*1)+3),0,0,0,0,1/((3*1)+3),0,0,0
p.7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/((3*1)+3),0,0,0,0,0,0,(2*1)/((3*1)+3),0,1/((3*1)+3),0,0,0,0,0,0,1/((3*1)+3),0,0
p.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)),1/((2*1)),0,0
p.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)),1/((2*1)),0,0
p.8A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+1),1/((2*1)+1),0,0,1/((2*1)+1),0
p.8B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/((2*1)+1),1/((2*1)+1),0,0,1/((2*1)+1),0
p.9A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p.9B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0